cve_ent,cve_mun,nom_mun,viv_tot,viv_rem,viv_emig,viv_circ,viv_ret,iim_dp2,gim_dp2,pos_nal
31,31032,Espita,4212,0.166191833,0.0,0.0,0.0,65.36307,Muy bajo,2457.0
31,31033,Halachó,5711,0.332924479,0.07004027,0.0,0.14008055,65.29292,Muy bajo,2418.0
31,31034,Hocabá,1696,0.884433962,0.0,0.11792453,0.0,65.12518,Muy bajo,2268.0
31,31035,Hoctún,1812,6.125827815,0.93818985,0.11037528,1.1589404,64.04781,Bajo,1348.0
31,31036,Homún,2268,0.309460654,0.0,0.0,0.08818342,65.32214,Muy bajo,2438.0
31,31037,Huhí,1576,2.918781726,0.19035533,0.0,0.19035533,64.96033,Muy bajo,2103.0
31,31038,Hunucmá,9086,1.618764453,0.31917235,0.09910803,0.25313669,64.93994,Muy bajo,2084.0
31,31039,Ixil,1118,0.53667263,0.0,0.08952551,0.0,65.2026,Muy bajo,2339.0
31,31040,Izamal,7841,1.785486545,0.12753475,0.0,0.17854865,65.10501,Muy bajo,2243.0
31,31041,Kanasín,39552,1.271111336,0.00252832,0.0,0.14411408,65.19545,Muy bajo,2331.0
31,31042,Kantunil,1520,1.907894737,0.06578947,0.13166557,0.13175231,64.94132,Muy bajo,2086.0
31,31043,Kaua,846,1.418439716,0.11820331,0.0,0.0,65.19837,Muy bajo,2334.0
31,31044,Kinchil,2010,0.895522388,0.04975124,0.0,0.09950249,65.24289,Muy bajo,2382.0
31,31045,Kopomá,788,0.253807107,0.0,0.0,0.1270648,65.31777,Muy bajo,2436.0
31,31046,Mama,866,12.94797688,2.65588915,0.23094688,2.30946882,62.4871,Medio,682.0
31,31047,Maní,1589,6.293266205,0.69225928,0.31486146,1.44745123,63.72212,Bajo,1150.0
31,31048,Maxcanú,6305,0.174464711,0.0,0.0,0.06344171,65.34454,Muy bajo,2450.0
31,31049,Mayapán,943,1.060445387,0.0,0.0,0.21208908,65.20131,Muy bajo,2336.0
31,31050,Mérida,304645,2.042854788,0.34072445,0.2503026,0.4093057,64.64514,Muy bajo,1793.0
31,31051,Mocochá,1005,2.388059701,0.0,0.0997009,0.19900498,64.92084,Muy bajo,2065.0
